"DOI","DIMENSION_Open_Access","DIMENSION_CITATIONS","DIMENSION_RECENT_CITATIONS","DIMENSION_RELATIVE_CITATION_RATIO","DIMENSION_FIELD_CITATION_RATIO","DIMENSION_Sustainable_Development_Goals"
"10.1001/jamaneurol.2021.0912","All OA; Hybrid",74,74,15.97,59.45,
"10.1001/jamaneurol.2021.1008","All OA; Bronze",12,12,1.99,9.66,
"10.1001/jamaneurol.2021.1116","All OA; Hybrid",8,8,1.05,6.44,
"10.1001/jamaneurol.2021.1364","All OA; Bronze",36,36,3.45,13.02,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.2738","All OA; Green",45,45,6.42,29.54,
"10.1001/jamaneurol.2021.3088","All OA; Green",1,1,,0.8,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.3188","All OA; Hybrid",49,49,8.78,17.7,
"10.1001/jamaneurol.2021.3416","Closed",23,23,3.55,15.1,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.3599","All OA; Bronze",101,101,10.09,36.53,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.3609","All OA; Bronze",58,58,6.67,20.97,"3 Good Health and Well Being"
"10.1001/jamaneurol.2021.4245","Closed",1,1,,,
"10.1001/jamaneurol.2021.5109","All OA; Green",45,45,,,"3 Good Health and Well Being"
"10.1001/jamaneurol.2022.0245","All OA; Bronze",44,44,,,"3 Good Health and Well Being"
"10.1001/jamaneurol.2022.0489","All OA; Bronze",19,19,,,
"10.1001/jamaneurol.2022.1025","All OA; Hybrid",10,10,,,
"10.1001/jamaneurol.2022.1357","All OA; Green",5,5,,,
"10.1001/jamaneurol.2022.1735","Closed",0,0,,,
"10.1001/jamaneurol.2022.1929","Closed",2,2,,,
"10.1001/jamaneurol.2022.2141","Closed",2,2,,,
"10.1001/jamaoncol.2021.6987","All OA; Hybrid",341,341,,,"3 Good Health and Well Being"
"10.1001/jamaophthalmol.2020.4231","All OA; Green",11,10,1.29,5.34,
"10.1001/jamaophthalmol.2021.0651","All OA; Green",9,9,2.49,7.98,
"10.1001/jamapsychiatry.2021.4363","All OA; Green",8,8,,,
"10.1002/14651858.cd004192.pub4","All OA; Green",36,34,3.76,13.78,
"10.1002/14651858.cd004407.pub4","All OA; Green",81,71,5.88,22.39,"3 Good Health and Well Being"
"10.1002/14651858.cd004407.pub5","All OA; Green",12,12,2.08,5.39,"3 Good Health and Well Being"
"10.1002/14651858.cd006981.pub3","Closed",3,3,,,
"10.1002/14651858.cd008496.pub3","All OA; Green",1,1,0.38,0.8,
"10.1002/14651858.cd008754.pub4","All OA; Green",16,15,2.45,15.43,
"10.1002/14651858.cd012081.pub3","All OA; Green",12,10,0.64,,"3 Good Health and Well Being"
"10.1002/14651858.cd012336.pub2","All OA; Green",2,2,0.34,1.61,
"10.1002/14651858.cd013247.pub2","All OA; Green",6,6,,,
"10.1002/14651858.cd013444.pub2","Closed",12,12,,,
"10.1002/14651858.cd013544.pub2","All OA; Green",6,6,1.1,4.15,
"10.1002/14651858.cd013608.pub2","Closed",2,2,,,
"10.1002/14651858.cd013647.pub2","All OA; Green",4,4,0.94,3.22,
"10.1002/14651858.cd013874.pub2","All OA; Green",6,6,1.23,4.78,"3 Good Health and Well Being"
"10.1002/14651858.cd015021","Closed",3,3,,,"3 Good Health and Well Being"
"10.1002/1873-3468.13858","All OA; Hybrid",8,7,0.46,2.32,
"10.1002/1878-0261.12826","All OA; Gold",10,10,0.79,3.55,
"10.1002/2211-5463.12951","All OA; Gold",6,5,0.42,1.22,
"10.1002/acn3.50972","All OA; Green",90,81,9.51,28.1,
"10.1002/acn3.50988","All OA; Gold",6,5,1.04,2.81,
"10.1002/acn3.51004","All OA; Gold",48,45,3.37,14.98,"14 Life Below Water"
"10.1002/acn3.51008","All OA; Green",3,2,0.44,1.41,
"10.1002/acn3.51029","All OA; Gold",8,8,0.7,3.75,
"10.1002/acn3.51037","All OA; Gold",28,23,3.02,8.74,
"10.1002/acn3.51045","All OA; Gold",15,13,1.51,7.03,
"10.1002/acn3.51060","All OA; Gold",23,22,2.06,10.78,
"10.1002/acn3.51070","All OA; Gold",17,16,1.86,7.97,
"10.1002/acn3.51078","All OA; Gold",44,43,3.5,20.61,
"10.1002/acn3.51100","All OA; Gold",7,7,0.64,2.38,
"10.1002/acn3.51103","All OA; Gold",19,18,1.4,5.93,
"10.1002/acn3.51109","All OA; Gold",13,10,1.16,4.06,"3 Good Health and Well Being"
"10.1002/acn3.51111","All OA; Gold",12,11,1.36,5.62,
"10.1002/acn3.51130","All OA; Gold",6,6,1.21,4.83,
"10.1002/acn3.51136","All OA; Gold",40,38,3.92,18.75,
"10.1002/acn3.51147","All OA; Gold",14,14,1.28,4.37,
"10.1002/acn3.51148","All OA; Gold",2,1,0.15,0.5,
"10.1002/acn3.51152","All OA; Gold",7,7,0.6,3.28,
"10.1002/acn3.51156","All OA; Gold",7,7,0.5,3.03,"4 Quality Education"
"10.1002/acn3.51167","All OA; Gold",1,1,0.14,0.47,
"10.1002/acn3.51187","All OA; Green",2,2,0.18,0.73,
"10.1002/acn3.51200","All OA; Gold",6,6,0.5,1.25,
"10.1002/acn3.51206","All OA; Gold",32,30,2.43,8.04,
"10.1002/acn3.51215","All OA; Gold",14,14,1.64,6.56,
"10.1002/acn3.51216","All OA; Gold",4,4,0.27,0.86,
"10.1002/acn3.51224","All OA; Gold",21,21,3.18,7.69,
"10.1002/acn3.51229","All OA; Green",57,56,5.18,15.75,
"10.1002/acn3.51234","All OA; Gold",88,88,8.58,27.45,"3 Good Health and Well Being"
"10.1002/acn3.51241","All OA; Gold",6,6,1.69,1.51,"3 Good Health and Well Being"
"10.1002/acn3.51244","All OA; Gold",5,5,0.91,2.34,
"10.1002/acn3.51251","All OA; Gold",4,4,0.59,3.22,
"10.1002/acn3.51262","All OA; Gold",5,5,0.93,3.02,
"10.1002/acn3.51264","All OA; Green",6,6,0.7,2.17,
"10.1002/acn3.51267","All OA; Gold",6,6,0.99,2.03,
"10.1002/acn3.51282","All OA; Green",17,17,3.29,7.97,
"10.1002/acn3.51291","All OA; Green",25,25,3.43,11.72,
"10.1002/acn3.51293","All OA; Gold",45,45,10.74,21.09,"3 Good Health and Well Being"
"10.1002/acn3.51298","All OA; Gold",13,13,2.24,10.46,
"10.1002/acn3.51302","All OA; Gold",10,10,1.56,8.05,
"10.1002/acn3.51303","All OA; Gold",4,4,0.7,1.44,
"10.1002/acn3.51305","All OA; Gold",7,7,1.44,5.63,"3 Good Health and Well Being"
"10.1002/acn3.51310","All OA; Gold",1,1,0.19,0.8,
"10.1002/acn3.51314","All OA; Gold",16,16,2.57,12.87,"3 Good Health and Well Being"
"10.1002/acn3.51320","All OA; Gold",17,17,2.81,9.23,
"10.1002/acn3.51324","All OA; Green",11,11,2.49,6.79,"3 Good Health and Well Being"
"10.1002/acn3.51325","All OA; Green",7,7,1.86,4.23,
"10.1002/acn3.51326","All OA; Green",8,8,1.28,4.35,"3 Good Health and Well Being"
"10.1002/acn3.51334","All OA; Gold",2,2,0.39,1.61,
"10.1002/acn3.51338","All OA; Green",21,21,3.56,7.78,
"10.1002/acn3.51342","All OA; Green",30,30,3.6,16.65,"3 Good Health and Well Being"
"10.1002/acn3.51354","All OA; Green",4,4,0.19,3.22,
"10.1002/acn3.51355","All OA; Gold",30,30,5.67,24.14,
"10.1002/acn3.51365","All OA; Green",7,7,1.33,4.32,
"10.1002/acn3.51366","All OA; Gold",7,7,1.07,5.63,
"10.1002/acn3.51368","All OA; Green",3,3,0.78,1.06,
"10.1002/acn3.51378","All OA; Green",7,7,1.07,2.53,
"10.1002/acn3.51383","All OA; Gold",1,1,0.21,0.36,
"10.1002/acn3.51401","All OA; Gold",12,12,1.71,4.34,
"10.1002/acn3.51408","All OA; Gold",65,65,7.09,36.07,
"10.1002/acn3.51410","All OA; Green",3,3,0.63,1.85,
"10.1002/acn3.51413","All OA; Gold",0,0,,0,
"10.1002/acn3.51431","All OA; Gold",3,3,0.5,2.41,
"10.1002/acn3.51441","All OA; Gold",13,13,2,7.07,
"10.1002/acn3.51471","All OA; Green",5,5,0.94,4.02,
"10.1002/acn3.51472","All OA; Gold",5,5,0.46,3.09,"3 Good Health and Well Being"
"10.1002/acn3.51473","All OA; Gold",16,16,2.45,14.22,
"10.1002/acn3.51476","All OA; Green",13,13,1.62,7.07,
"10.1002/acn3.51481","All OA; Gold",1,1,0.22,0.55,
"10.1002/acn3.51491","All OA; Gold",8,8,,,
"10.1002/acn3.51495","All OA; Gold",9,9,,,
"10.1002/acn3.51510","All OA; Gold",7,7,,,
"10.1002/acn3.51524","All OA; Green",7,7,,,
"10.1002/acn3.51526","All OA; Gold",1,1,,,
"10.1002/acn3.51568","All OA; Green",1,1,,,
"10.1002/acn3.51573","All OA; Green",1,1,,,
"10.1002/acn3.51574","All OA; Green",1,1,,,"3 Good Health and Well Being"
"10.1002/acn3.51578","All OA; Gold",4,4,,,
"10.1002/acn3.51595","All OA; Green",5,5,,,
"10.1002/acn3.51618","All OA; Gold",2,2,,,
"10.1002/acn3.51621","All OA; Green",0,0,,,
"10.1002/acn3.51622","All OA; Green",0,0,,,
"10.1002/acn3.51628","All OA; Green",7,7,,,"3 Good Health and Well Being"
"10.1002/acn3.51632","All OA; Gold",0,0,,,
"10.1002/acn3.51642","All OA; Green",2,2,,,
"10.1002/acn3.51644","All OA; Green",4,4,,,
"10.1002/acn3.51645","All OA; Green",2,2,,,
"10.1002/acn3.51646","All OA; Gold",1,1,,,"3 Good Health and Well Being"
"10.1002/acn3.51648","All OA; Green",2,2,,,
"10.1002/acn3.51649","All OA; Green",1,1,,,"3 Good Health and Well Being"
"10.1002/acn3.51662","All OA; Gold",0,0,,,
"10.1002/acn3.51664","All OA; Gold",1,1,,,"3 Good Health and Well Being"
"10.1002/acn3.51669","All OA; Gold",1,1,,,
"10.1002/acn3.51688","All OA; Green",2,2,,,"3 Good Health and Well Being"
"10.1002/acr2.11293","All OA; Gold",2,2,0.68,1.13,"3 Good Health and Well Being"
"10.1002/adbi.202101099","All OA; Green",1,1,,,
"10.1002/adhm.202000164","All OA; Green",26,25,2.3,6.53,
"10.1002/adhm.202002214","All OA; Bronze",10,10,1.13,3.65,"3 Good Health and Well Being"
"10.1002/adma.202107392","All OA; Green",1,1,,,
"10.1002/adma.202201322","Closed",11,11,,,
"10.1002/advs.202002944","All OA; Gold",88,88,14.12,32.55,
"10.1002/advs.202004973","All OA; Gold",13,13,1.57,4.7,
"10.1002/advs.202102853","All OA; Gold",4,4,,2.18,
"10.1002/advs.202104640","All OA; Gold",6,6,,,
"10.1002/advs.202105442","All OA; Green",2,2,,,
"10.1002/ajhb.23415","Closed",1,1,,0.38,
"10.1002/ajmg.a.62120","Closed",5,5,0.91,4.02,
"10.1002/ajmg.a.62433","All OA; Hybrid",1,1,0.34,0.61,
"10.1002/ajmg.a.62870","Closed",3,3,,,
"10.1002/alz.12180","All OA; Hybrid",7,7,1.05,1.5,
"10.1002/alz.12880","Closed",1,1,,,
"10.1002/alz.12885","Closed",0,0,,,
"10.1002/ana.25637","All OA; Hybrid",58,49,6.08,23.61,
"10.1002/ana.25647","Closed",17,14,1.04,3.75,
"10.1002/ana.25655","All OA; Hybrid",84,63,9.01,34.17,
"10.1002/ana.25684","All OA; Hybrid",16,10,1.69,7.5,
"10.1002/ana.25688","Closed",14,11,1.33,5.33,
"10.1002/ana.25691","All OA; Hybrid",18,17,1.52,8.44,
"10.1002/ana.25701","All OA; Hybrid",57,43,5.63,20.28,
"10.1002/ana.25705","All OA; Hybrid",32,26,3.49,15,
"10.1002/ana.25709","All OA; Hybrid",15,12,1.29,7.03,
"10.1002/ana.25717","All OA; Hybrid",10,10,0.61,3.8,
"10.1002/ana.25737","Closed",48,41,4.56,22.5,"3 Good Health and Well Being"
"10.1002/ana.25738","All OA; Green",46,39,5.69,22.34,
"10.1002/ana.25743","All OA; Green",27,23,2.67,12.66,
"10.1002/ana.25746","All OA; Hybrid",53,47,4.39,24.84,
"10.1002/ana.25749","All OA; Hybrid",17,13,1.65,7.96,
"10.1002/ana.25758","Closed",0,0,,0,
"10.1002/ana.25759","Closed",1,1,,0.38,
"10.1002/ana.25770","All OA; Green",45,26,4.16,17.12,
"10.1002/ana.25782","All OA; Hybrid",17,17,2.43,8.26,
"10.1002/ana.25786","Closed",36,30,2.59,16.87,
"10.1002/ana.25799","Closed",57,54,5.49,26.72,
"10.1002/ana.25802","Closed",3,3,0.3,1.14,
"10.1002/ana.25808","Closed",54,50,6.06,20.54,
"10.1002/ana.25835","All OA; Hybrid",10,9,0.71,3.8,
"10.1002/ana.25842","Closed",16,16,1.66,6.08,
"10.1002/ana.25877","All OA; Green",58,55,6.22,27.19,"3 Good Health and Well Being"
"10.1002/ana.25907","All OA; Green",7,7,0.53,2.66,
"10.1002/ana.25909","All OA; Green",69,68,12.72,32.32,
"10.1002/ana.25927","All OA; Green",78,77,12.46,19.6,
"10.1002/ana.25933","All OA; Green",11,10,2.11,4.18,
"10.1002/ana.25936","Closed",1,1,0.23,0.38,
"10.1002/ana.25957","Closed",19,19,3.58,8.91,
"10.1002/ana.25974","All OA; Hybrid",16,16,3.11,7.5,
"10.1002/ana.26014","All OA; Hybrid",27,27,4.25,25.89,
"10.1002/ana.26023","All OA; Green",0,0,,0,
"10.1002/ana.26027","Closed",1,1,0.36,0.66,
"10.1002/ana.26028","All OA; Green",301,300,41.91,242.18,"3 Good Health and Well Being"
"10.1002/ana.26050","Closed",14,14,2.78,14.96,
"10.1002/ana.26052","Closed",7,7,1.63,5.63,
"10.1002/ana.26061","All OA; Hybrid",9,9,1.14,5.91,
"10.1002/ana.26062","All OA; Green",10,10,1.35,8.05,
"10.1002/ana.26067","All OA; Hybrid",52,52,11.09,41.84,
"10.1002/ana.26069","All OA; Green",17,16,1.56,11.14,
"10.1002/ana.26084","All OA; Green",70,70,9.55,45.95,
"10.1002/ana.26136","Closed",14,14,1.76,9.18,
"10.1002/ana.26137","All OA; Hybrid",10,10,1.55,8.05,
"10.1002/ana.26154","Closed",5,5,0.66,4.02,
"10.1002/ana.26155","All OA; Green",4,4,0.42,2.63,
"10.1002/ana.26158","Closed",32,32,4.04,20.98,"3 Good Health and Well Being"
"10.1002/ana.26163","All OA; Hybrid",9,9,1.09,4.99,
"10.1002/ana.26194","All OA; Green",24,24,3.44,19.31,
"10.1002/ana.26196","All OA; Green",3,3,0.55,1.63,
"10.1002/ana.26202","All OA; Hybrid",2,2,0.27,0.72,"3 Good Health and Well Being"
"10.1002/ana.26216","All OA; Hybrid",11,11,1.5,3.98,
"10.1002/ana.26223","Closed",20,20,3.09,7.22,
"10.1002/ana.26226","All OA; Hybrid",25,25,3.82,20.08,
"10.1002/ana.26239","Closed",13,13,2.08,10.46,
"10.1002/ana.26251","All OA; Hybrid",92,92,26.06,33.27,"3 Good Health and Well Being"
"10.1002/ana.26281","All OA; Green",26,26,,,
"10.1002/ana.26285","All OA; Hybrid",21,21,,,
"10.1002/ana.26288","All OA; Hybrid",6,6,,,
"10.1002/ana.26290","All OA; Green",7,7,,,
"10.1002/ana.26301","All OA; Green",6,6,,,
"10.1002/ana.26309","All OA; Green",16,16,,,"3 Good Health and Well Being"
"10.1002/ana.26320","All OA; Green",3,3,,,
"10.1002/ana.26322","Closed",3,3,,,
"10.1002/ana.26328","All OA; Hybrid",6,6,,,"3 Good Health and Well Being"
"10.1002/ana.26336","All OA; Hybrid",2,2,,,"3 Good Health and Well Being"
"10.1002/ana.26341","Closed",0,0,,,
"10.1002/ana.26343","All OA; Green",14,14,,,"3 Good Health and Well Being"
"10.1002/ana.26346","All OA; Green",12,12,,,"3 Good Health and Well Being"
"10.1002/ana.26348","All OA; Hybrid",2,2,,,"3 Good Health and Well Being"
"10.1002/ana.26352","All OA; Green",6,6,,,"3 Good Health and Well Being"
"10.1002/ana.26370","Closed",5,5,,,
"10.1002/ana.26440","All OA; Hybrid",7,7,,,
"10.1002/ana.26441","All OA; Hybrid",8,8,,,
"10.1002/ana.26448","All OA; Hybrid",5,5,,,
"10.1002/ana.26466","All OA; Hybrid",4,4,,,"3 Good Health and Well Being"
"10.1002/anie.202113562","All OA; Green",3,3,0.61,,
"10.1002/anr3.12169","Closed",0,0,,,
"10.1002/anr3.12176","Closed",0,0,,,
"10.1002/ar.24538","Closed",1,1,0.19,0.47,
"10.1002/ardp.202000378","Closed",6,6,1.14,1.44,"3 Good Health and Well Being"
"10.1002/art.41259","Closed",11,7,1.18,2.29,
"10.1002/art.41265","All OA; Green",3,2,0.25,1.41,
"10.1002/art.41267","All OA; Green",17,14,1.63,3.53,
"10.1002/art.41291","All OA; Green",8,8,1,3.75,
"10.1002/art.41591","All OA; Green",3,3,0.6,2.41,
"10.1002/art.41657","All OA; Green",7,7,0.86,3.67,
"10.1002/art.42063","Closed",4,4,,,
"10.1002/art.42081","Closed",5,5,,,
"10.1002/art.42265","All OA; Green",5,5,,,
"10.1002/art.42287","All OA; Green",14,14,,,"3 Good Health and Well Being"
"10.1002/bab.1920","Closed",2,2,0.24,,"3 Good Health and Well Being"
"10.1002/bimj.201900268","Closed",3,2,0.14,2.23,
"10.1002/bio.3976","Closed",1,1,,0.2,
"10.1002/biof.1597","Closed",62,54,6.51,10.15,
"10.1002/biof.1687","Closed",74,73,14.03,15.41,
"10.1002/biof.1771","Closed",3,3,0.92,1.05,
"10.1002/bmc.5029","Closed",3,3,0.18,0.57,
"10.1002/brb3.1498","All OA; Gold",33,25,3.59,5.08,
"10.1002/brb3.1514","All OA; Gold",8,8,1.14,2.29,
"10.1002/brb3.1598","All OA; Gold",11,9,1.31,5.16,
"10.1002/brb3.1625","All OA; Gold",20,17,1.52,9.37,
"10.1002/brb3.1772","All OA; Gold",4,4,0.52,1.87,
"10.1002/brb3.1795","All OA; Gold",1,1,0.27,0.37,
"10.1002/brb3.1830","All OA; Gold",9,9,1.69,4.22,"3 Good Health and Well Being"
"10.1002/brb3.1842","All OA; Gold",12,12,1.58,5.4,
"10.1002/brb3.1865","All OA; Gold",10,10,2.32,4.68,
"10.1002/brb3.1920","All OA; Gold",2,2,0.93,0.94,"3 Good Health and Well Being"
"10.1002/brb3.1921","All OA; Gold",40,40,8.52,15.21,"3 Good Health and Well Being"
"10.1002/brb3.1925","All OA; Gold",2,2,0.71,0.73,
"10.1002/brb3.1930","All OA; Gold",5,5,0.91,2.34,
"10.1002/brb3.1998","All OA; Gold",1,1,0.4,0.47,
"10.1002/brb3.2044","All OA; Gold",1,1,0.56,0.6,
"10.1002/brb3.2050","All OA; Gold",5,5,1.05,4.02,
"10.1002/brb3.2073","All OA; Gold",2,2,1.42,1.61,
"10.1002/brb3.2083","All OA; Gold",0,0,0.32,0,
"10.1002/brb3.2087","All OA; Gold",5,5,1.7,3.53,
"10.1002/brb3.2111","All OA; Gold",5,5,1.07,1.85,
"10.1002/brb3.2125","All OA; Gold",7,7,1.74,6.22,
"10.1002/brb3.2179","All OA; Gold",7,7,1.19,3.46,
"10.1002/brb3.2220","All OA; Gold",0,0,0.31,0,
"10.1002/brb3.2298","All OA; Gold",1,1,0.2,0.8,
"10.1002/brb3.2302","All OA; Gold",0,0,0.24,0,
"10.1002/brb3.2353","All OA; Gold",10,10,2.1,8.05,
"10.1002/brb3.2405","All OA; Gold",2,2,0.57,1.41,
"10.1002/brb3.2494","All OA; Gold",0,0,,,
"10.1002/brb3.2573","All OA; Gold",0,0,,,
"10.1002/brb3.2582","All OA; Gold",1,1,,,"3 Good Health and Well Being"
"10.1002/brb3.2587","All OA; Gold",3,3,,,"3 Good Health and Well Being"
"10.1002/brb3.2591","All OA; Gold",0,0,,,
"10.1002/brb3.2592","All OA; Gold",1,1,,,
"10.1002/brb3.2596","All OA; Gold",0,0,,,
"10.1002/brb3.2679","All OA; Gold",1,1,,,
"10.1002/brb3.2700","All OA; Gold",1,1,,,
"10.1002/brb3.2719","All OA; Gold",2,2,,,
"10.1002/brb3.2723","All OA; Gold",0,0,,,
"10.1002/brb3.2798","All OA; Gold",0,0,,,
"10.1002/btpr.2927","Closed",3,2,0.16,0.42,
"10.1002/cbic.202100038","Closed",1,1,,0.33,
"10.1002/cbic.202100515","All OA; Green",3,3,,0.99,
"10.1002/cbin.11250","Closed",14,12,1.27,2.29,
"10.1002/cbin.11373","Closed",5,5,0.31,1.04,
"10.1002/cbin.11500","Closed",15,15,2.85,3.12,
"10.1002/cbin.11589","Closed",35,35,7.07,12.25,
"10.1002/cbin.11846","Closed",1,1,,,
"10.1002/ccd.28379","Closed",12,7,1.85,5.63,
"10.1002/ccr3.2781","All OA; Gold",0,0,,,
"10.1002/ccr3.2808","All OA; Gold",4,3,0.16,1.94,
"10.1002/ccr3.2971","All OA; Gold",0,0,,0,"3 Good Health and Well Being"
"10.1002/ccr3.3135","All OA; Gold",2,2,0.53,,
"10.1002/ccr3.4407","All OA; Gold",1,1,,0.8,
"10.1002/ccr3.4468","All OA; Gold",1,1,,0.8,
"10.1002/ccr3.5299","All OA; Gold",4,4,,,
"10.1002/ccr3.5910","All OA; Gold",5,5,,,"3 Good Health and Well Being"
"10.1002/ccr3.6154","All OA; Gold",1,1,,,
